TEAM,SEASON,WIN%,FG.Per,3P.Per,DREB,TRB,STL,TOV,Team_FG.Per,Team_3P.Per,Team_DREB,Team_TRB,Team_STL,Team_TOV
MINNESOTA LYNX,2011,0.794,4.8,1.4,3.3,6.4,1.3,-2,46.1,36.8,25.6,36.5,7.3,12.9
CONNECTICUT SUN,2011,0.618,-0.5,1.6,-0.7,-0.9,-0.4,-2.4,42.4,36.3,25.6,35.6,7.3,13.1
INDIANA FEVER,2011,0.618,1.9,4.4,0.1,-1.8,0.9,-1.1,44.3,37.9,22.9,31.6,8.8,14.8
SEATTLE STORM,2011,0.618,2,-0.3,2.5,1.8,-0.5,1.9,43.8,35.6,23.7,31.6,7.4,16.1
ATLANTA DREAM,2011,0.588,1.5,-9.9,0.3,1.5,1.4,-2.4,44.6,26.1,24.6,36.1,9.3,15
NEW YORK LIBERTY,2011,0.559,0.4,3.8,-1,0.4,1.6,-2.1,43.3,35.8,22.3,32.8,8.4,14.8
PHOENIX MERCURY,2011,0.559,2.1,0.7,1.9,0.9,-1.5,1.8,46.1,37.3,26,35.1,6.6,15.4
SAN ANTONIO SILVER STARS,2011,0.529,0.3,0.6,-3.6,-5.7,1,-3.3,43,35.6,24.2,31.3,8.4,12.8
LOS ANGELES SPARKS,2011,0.441,-0.2,5.9,-0.7,-3.1,-0.4,1.6,44.5,39.6,23.1,31.7,7.3,15.2
CHICAGO SKY,2011,0.412,2,2.7,1.8,1.2,-1.3,2.9,43.8,36.4,24.6,33.8,7.9,17.6
WASHINGTON MYSTICS,2011,0.176,-5.9,-5.7,-1.3,1.3,-1.1,2.4,40.6,32.9,21.6,33.1,8.3,16.9
TULSA SHOCK,2011,0.088,-8.8,-11.2,-2.6,-1.9,-1.2,2.8,39.6,28.4,21.8,30.7,7.4,17.1
MINNESOTA LYNX,2012,0.794,6.6,7.3,5.6,6.8,-0.3,0.7,47.3,40,26.6,37.8,7.6,15.2
CONNECTICUT SUN,2012,0.735,0.1,1.4,-1,-0.9,-0.3,-1.5,43.1,35.6,24.1,34.4,8,14.5
LOS ANGELES SPARKS,2012,0.706,4.2,3.7,3.3,3.3,0,0.4,45.8,35.9,25.6,36.9,8.9,16.2
INDIANA FEVER,2012,0.647,-1.1,6.9,-1.6,-2.2,2.4,-3.8,41.8,40,22.3,32.2,9.5,13.6
SAN ANTONIO SILVER STARS,2012,0.618,1.3,-0.9,-1.3,-1.7,1.8,-2.5,44.5,37.5,23.6,33.2,8.9,13.1
ATLANTA DREAM,2012,0.559,1.9,-6.3,0.2,0.3,0.6,-1.2,43.4,29.6,24.6,34.8,9.8,16.4
SEATTLE STORM,2012,0.471,4.3,0.9,2,-1.8,-3,3.4,43.4,35.1,25.1,31.9,6,17
NEW YORK LIBERTY,2012,0.441,-0.4,1.6,-0.2,-1,-1.3,1.9,42.5,35.5,23.4,33.4,7.4,16.3
CHICAGO SKY,2012,0.412,0.2,-1.4,2.3,4.8,-0.2,2,43.1,34,24.2,34.9,8.7,17.8
TULSA SHOCK,2012,0.265,-7.2,0.2,-7.3,-7.6,1.9,-3.7,40.5,38,19.7,29.5,9.7,14.7
PHOENIX MERCURY,2012,0.206,-5.3,-9.2,-0.3,1.3,-1.6,3.1,38.4,29.5,25.1,37.4,7.1,16.5
WASHINGTON MYSTICS,2012,0.147,-4.8,-6.7,-1.8,-1.4,-0.3,1.2,41.2,30.1,21.2,31.2,8.6,16.8
MINNESOTA LYNX,2013,0.765,6.9,4.7,4.2,4.7,1.7,-2.2,47.4,36.5,27.1,36.9,7.7,12.1
CHICAGO SKY,2013,0.706,1.6,-1.5,2.4,3.9,0.5,-0.4,42,33.6,26.6,37.1,7.2,12.8
LOS ANGELES SPARKS,2013,0.706,6.3,5.5,2.5,1,0.2,-1.3,47.5,34.6,25.6,34.6,8.4,14
PHOENIX MERCURY,2013,0.559,4.2,-3.5,3.4,0.9,-1.8,3.4,45.3,30.3,27.3,35.1,6,15.1
ATLANTA DREAM,2013,0.5,0.3,-4.9,-0.7,-0.1,2,-1.9,42.3,27.5,24.9,35.6,10.2,15.1
SEATTLE STORM,2013,0.5,-1.4,3.2,-0.6,-1.3,-2.3,2.5,42.1,33.2,22.3,30.3,6,15.7
WASHINGTON MYSTICS,2013,0.5,0,3.2,1.4,1.1,0.2,1,41.3,34.7,25.6,35.5,7.5,15.1
INDIANA FEVER,2013,0.471,-4.4,2.1,-3.3,-1.6,2.6,-3.1,39.3,33.7,21.4,32,9.6,13.3
SAN ANTONIO SILVER STARS,2013,0.353,-5.5,-3.1,-5,-4.4,1.2,-1.4,40,31.6,22.2,32.1,8.3,13.4
NEW YORK LIBERTY,2013,0.324,-0.4,-1,1.7,2.5,-2.9,4.5,40.4,32.8,26.8,37.5,5.9,16.6
TULSA SHOCK,2013,0.324,-4.6,0.4,-3.3,-2.9,-0.6,-0.3,40.5,33.4,22.5,32.8,8,15.1
CONNECTICUT SUN,2013,0.294,-3.6,-3.8,-2.9,-3.7,-0.9,-0.8,40,30.1,23.6,33.9,7.6,14.2
PHOENIX MERCURY,2014,0.853,7.5,4.9,2.3,-0.8,0.2,-0.4,48.4,35,26.7,33.7,6.9,13
MINNESOTA LYNX,2014,0.735,4.4,-0.8,3.5,2.7,0.3,-0.6,46.7,33.8,27,35.3,7.1,12.3
ATLANTA DREAM,2014,0.559,0.5,-5.2,1.2,3.3,0.6,-1.1,43.3,30.3,25.9,37.7,9.6,16.1
INDIANA FEVER,2014,0.471,-2.5,4.1,-1.1,0.4,0.2,-0.5,41.8,34.6,22.1,32.3,8.2,14.8
LOS ANGELES SPARKS,2014,0.471,0.7,0.1,-1.1,-1.2,1,-1.6,45.7,31.6,23.6,32.4,9.1,14.5
SAN ANTONIO STARS,2014,0.471,-4.4,3.7,-2.9,-2.4,0.9,-1.4,43,35.9,22.9,31.7,7.4,12.6
WASHINGTON MYSTICS,2014,0.471,1.3,-0.1,2.2,1.6,-1.2,2.8,42.5,31.7,25.7,35.4,6.9,15.4
CHICAGO SKY,2014,0.441,1.3,1.7,0.9,-1.7,-0.7,1.2,43.3,33.2,25.6,34.2,7.2,14.4
NEW YORK LIBERTY,2014,0.441,-0.4,-4.4,0.3,0.9,-0.9,1.2,42.2,30.5,25.6,34.8,7.2,14.5
CONNECTICUT SUN,2014,0.382,-2.9,0,-1.9,0.4,0.3,-0.8,41.4,32.2,22.3,34,8,14.8
SEATTLE STORM,2014,0.353,-2.1,0.9,-2.1,-4,-1.3,1.5,43.6,33.6,22.2,28.5,6.6,14.6
TULSA SHOCK,2014,0.353,-4.1,-5.9,-1.5,0.9,0.5,0,42.7,30.4,23,34.7,7.2,13.6
NEW YORK LIBERTY,2015,0.676,3.3,-3.9,2.7,5.2,0.2,0,42.6,30.9,26.8,36.7,7.4,14.6
MINNESOTA LYNX,2015,0.647,2.7,2.1,1.3,2.3,-0.7,0.4,44.1,33.2,26.4,35.3,6.1,13.1
CHICAGO SKY,2015,0.618,2.1,-1.8,1.9,3,-0.1,-0.9,44.6,32.7,26.6,36.6,6.7,12.1
INDIANA FEVER,2015,0.588,-1.6,5.9,-1.7,-0.4,0.9,-1.8,42.4,36,22.7,32.4,8.7,14.4
PHOENIX MERCURY,2015,0.588,4.1,0.7,1,-1.6,0.5,-0.1,43.7,32.4,26.2,33.4,7.3,12.9
TULSA SHOCK,2015,0.529,-5,-1.3,-1.1,2,0.7,-1.1,39.5,32.5,24.1,35.6,6.9,12.6
WASHINGTON MYSTICS,2015,0.529,1.7,3.7,-0.7,-2.8,-0.2,-0.5,42.2,34.6,24.2,32.3,6.6,13.2
ATLANTA DREAM,2015,0.441,-2.5,-0.7,0.2,2.5,0.7,0,41.1,32,23.6,34.6,9.2,16
CONNECTICUT SUN,2015,0.441,-1.8,-2.3,-2.5,-2.6,1.1,-1.5,42.2,33.5,22,31,8.2,13.5
LOS ANGELES SPARKS,2015,0.412,3.7,-3,1.3,-0.8,-1.2,2.2,45.2,29.7,25.1,32.1,5.8,13.2
SEATTLE STORM,2015,0.294,0.3,0.8,-0.1,-3.6,-1.8,2.4,43.4,32.3,25.1,30.4,6,15.1
SAN ANTONIO STARS,2015,0.235,-6.9,-1.4,-2.4,-3,-0.3,0.9,39,29.5,24.5,32.6,7.2,14
MINNESOTA LYNX,2016,0.824,5.4,1.6,3.9,5.1,1.2,-1.6,47.1,33.7,26.2,35.8,8.2,13.5
LOS ANGELES SPARKS,2016,0.765,5.4,7,1.5,-0.9,0.7,-0.6,48.7,37.5,24.8,31.5,8,13.6
NEW YORK LIBERTY,2016,0.618,2.1,4.1,2.7,4.6,-1.1,2,43.4,36.3,27.9,38.6,7.1,14.6
CHICAGO SKY,2016,0.529,2.6,1.8,1.5,2.7,0.1,-0.3,46.2,36.8,25.5,35.6,6.9,12.1
ATLANTA DREAM,2016,0.5,-1.3,-2.5,0.6,1.6,-0.3,0,42.2,28.7,25.5,36.5,7.2,13.9
INDIANA FEVER,2016,0.5,-2,-2.7,-1,-0.6,0.9,-1,44.7,32.1,22.4,30.9,8.8,14.6
PHOENIX MERCURY,2016,0.471,1.3,-1.3,-0.2,-2,0.1,-0.2,45.3,34.3,24.9,32.4,7.2,13.8
SEATTLE STORM,2016,0.471,1.2,1.6,0.6,-2.1,-0.9,1.8,45.7,35.5,24.5,31.3,6.3,14.4
CONNECTICUT SUN,2016,0.412,-2,-4.5,-2.3,0.2,0.5,-1.5,43.9,30.8,23.3,34.1,8.4,14.2
WASHINGTON MYSTICS,2016,0.382,-2,1.6,-1,-2.5,0,-0.2,42.3,35.8,24.5,32.7,6.3,12.7
DALLAS WINGS,2016,0.324,-7.6,-1.6,-3.6,-2.1,-1.3,0.4,40,32.2,23.1,34.1,6.5,14
SAN ANTONIO STARS,2016,0.206,-3.3,-5.4,-2.8,-3.8,0.2,1,40.5,29.9,23.5,31.9,7.1,14.1
MINNESOTA LYNX,2017,0.794,5.4,5.6,3.5,5,0.6,-1.5,47.8,37,25.6,35.2,8.1,14.1
LOS ANGELES SPARKS,2017,0.765,4.9,0.9,1.6,-0.5,3.2,-3.1,47.9,34.1,24.8,31.4,9.3,13.3
NEW YORK LIBERTY,2017,0.647,1.7,-0.1,3.7,6.9,-0.3,1.2,42.5,33.2,28,38.7,6.1,13.1
CONNECTICUT SUN,2017,0.618,1.3,1.7,1,2.9,1.1,-1.4,44.8,36.5,27,36.7,7.7,12.5
PHOENIX MERCURY,2017,0.529,0.2,2.5,-1.2,-2.5,-0.5,0,44,33.9,24.5,32.1,6.4,14.1
WASHINGTON MYSTICS,2017,0.529,-1.6,-4.8,1,1.8,0.5,0,41.6,31.7,26.1,36.3,6.3,12.1
DALLAS WINGS,2017,0.471,-7.5,-2.7,-2.5,-0.2,0.9,-1.1,40.6,31.9,23.4,34.5,8.2,13.8
SEATTLE STORM,2017,0.441,3,0.7,0.4,-3.3,-1,0.9,47.3,36.3,24.6,31,6.5,14.3
ATLANTA DREAM,2017,0.353,-2.9,-2.3,-2.4,-0.9,0,-1.6,40.9,29.1,25,35.1,7,13.1
CHICAGO SKY,2017,0.353,2.6,5,0.5,-2.7,-3.2,3.7,46.1,37.5,26.2,33.8,5.7,15.9
INDIANA FEVER,2017,0.265,-4.4,-8.2,-5.4,-7,0,-0.8,42.9,30.9,21,28.2,6.6,13.6
SAN ANTONIO STARS,2017,0.235,-2.3,0.8,0,0.4,-1.1,3.6,42.9,33.3,24.1,33.3,6.7,16.4
SEATTLE STORM,2018,0.765,3.3,3.8,2,1.4,1.2,0,46.8,37.6,27.1,35.4,7.8,13.4
ATLANTA DREAM,2018,0.676,0.3,-0.3,-0.7,-0.7,0.8,-1.6,42.6,31.8,26,35.8,7.6,13.4
WASHINGTON MYSTICS,2018,0.636,0.1,2,-1.1,-1.6,1.2,-1.5,44.8,35.8,24,32.6,7.2,12.2
CONNECTICUT SUN,2018,0.618,2.3,2.4,1.7,4.9,0.5,-0.4,46.6,36.7,25.9,36.9,7.2,13.5
PHOENIX MERCURY,2018,0.588,2.6,-0.2,1,-1.8,-0.8,1.2,45.7,36,25.4,32.6,5.8,13.6
LOS ANGELES SPARKS,2018,0.559,0.2,3.3,-2.5,-3.8,1.3,-2.9,45.2,34.7,24.1,31.3,7.9,12.1
MINNESOTA LYNX,2018,0.529,0.6,0,1.9,4.2,-0.5,1.5,45.1,34.6,26.3,35.3,6.9,14.2
DALLAS WINGS,2018,0.441,-0.7,-5.7,2.6,4.4,-1.4,1.2,44.1,30.5,26.1,36.6,6.7,14.1
LAS VEGAS ACES,2018,0.424,-0.7,-0.9,0.9,1.3,-0.8,0.1,44.2,34.6,27.5,36.8,6.3,12.8
CHICAGO SKY,2018,0.382,-0.9,1.2,-0.2,-3.4,-2,2.1,45.3,36.4,24.9,33.1,6.7,15.4
NEW YORK LIBERTY,2018,0.206,-0.7,-3.9,-1.1,-1.1,-0.7,1.8,43.2,31.7,25.5,34.1,6.6,14.7
INDIANA FEVER,2018,0.176,-6.7,-2.3,-4.3,-4,1.1,-1.5,40.6,32.5,24.1,33,6.4,12.1
WASHINGTON MYSTICS,2019,0.765,3.9,2.6,0.9,0.7,1.8,-2.7,46.9,36.6,24.9,33.3,7.6,11.8
CONNECTICUT SUN,2019,0.676,-1.6,4.8,-0.2,3.5,1.8,-1.7,42.3,35.6,25.9,36.8,8.9,14.1
LOS ANGELES SPARKS,2019,0.647,2.4,-0.3,-0.9,-2.1,0,-1.9,43.2,34.1,25.6,34.2,8.2,14.4
LAS VEGAS ACES,2019,0.618,2.8,4.6,2.8,3.7,-0.6,1.3,42.7,36.7,29.6,38.8,7.1,14.6
CHICAGO SKY,2019,0.588,3,0.5,2.6,1,-1.4,1.9,44.8,33.6,28.2,36.4,6.8,15.3
MINNESOTA LYNX,2019,0.529,1.7,0,1.8,2.9,-0.3,-0.4,45.1,33.2,25,34,8.4,16.2
SEATTLE STORM,2019,0.529,-1.9,-1.9,-2.2,-1.2,0.6,-0.4,42,33.6,22.9,32,9.5,15.7
PHOENIX MERCURY,2019,0.441,0.2,-1.5,-1.1,-4.7,0.1,0,42.4,32.5,25.8,32.5,5.9,13.2
INDIANA FEVER,2019,0.382,0,-1.2,1.2,0.4,-0.6,0.9,42.2,34.6,26.1,35.1,6.3,13.9
DALLAS WINGS,2019,0.294,-4.1,-1.7,-1.7,0.4,0.6,0.5,38.9,32.6,23.4,33.9,7.3,14.6
NEW YORK LIBERTY,2019,0.294,-2.4,-2.4,-0.9,-1.1,-0.8,1.8,41.4,33.4,25.5,34.6,6.8,15.4
ATLANTA DREAM,2019,0.235,-4.5,-3.6,-2.4,-3.4,-1.2,0.8,37.1,29,26.2,36.1,6.6,14.4
